seed,dataset,method,accuracy,macro_f1,elapsed_seconds
24529,mnist_local,pca_32,0.885,0.8853526760798076,0.0437
24529,mnist_local,truncated_svd_32,0.885,0.8852069420332148,0.0629
24529,mnist_local,gaussian_random_projection_32,0.7716666666666666,0.7717847835559815,0.0519
24529,mnist_local,sparse_random_projection_32,0.7816666666666666,0.7801347102260505,0.0591
24529,mnist_local,autoencoder_32,0.84,0.8398677397766106,1.3889
24529,mnist_local,cnn_autoencoder_32,0.89,0.8898197930765608,1.5747
24529,twenty_newsgroups,pca_32,0.8348214285714286,0.8345853786670826,0.0524
24529,twenty_newsgroups,truncated_svd_32,0.8415178571428571,0.84106403637322,0.0236
24529,twenty_newsgroups,gaussian_random_projection_32,0.4107142857142857,0.39652753541833563,0.0078
24529,twenty_newsgroups,sparse_random_projection_32,0.43526785714285715,0.42231728000843755,0.0116
24529,twenty_newsgroups,autoencoder_32,0.8191964285714286,0.8170470781215122,1.2251
24529,digits_clean,pca_32,0.9666666666666667,0.9667594485473691,0.0294
24529,digits_clean,truncated_svd_32,0.9666666666666667,0.9666081995231692,0.0935
24529,digits_clean,gaussian_random_projection_32,0.95,0.950477012079169,0.1219
24529,digits_clean,sparse_random_projection_32,0.9533333333333334,0.9534918721266277,0.2116
24529,digits_clean,autoencoder_32,0.9433333333333334,0.9428275931505509,0.6208
24529,digits_clean,cnn_autoencoder_32,0.9566666666666667,0.9568283772616153,0.6662
24529,digits_noisy,pca_32,0.9633333333333334,0.9630568712425436,0.0324
24529,digits_noisy,truncated_svd_32,0.9633333333333334,0.9630568712425436,0.2652
24529,digits_noisy,gaussian_random_projection_32,0.9,0.8998464373324249,0.4738
24529,digits_noisy,sparse_random_projection_32,0.9066666666666666,0.9069027891845881,0.2876
24529,digits_noisy,autoencoder_32,0.9066666666666666,0.9060023643879361,0.6443
24529,digits_noisy,cnn_autoencoder_32,0.9366666666666666,0.9366030568291229,0.6369
24530,mnist_local,pca_32,0.8766666666666667,0.8757259688941949,0.0436
24530,mnist_local,truncated_svd_32,0.8783333333333333,0.8775313307684509,0.0665
24530,mnist_local,gaussian_random_projection_32,0.7433333333333333,0.7412554678179332,0.052
24530,mnist_local,sparse_random_projection_32,0.7583333333333333,0.7552124990755622,0.0837
24530,mnist_local,autoencoder_32,0.85,0.8489718317662817,1.4181
