experiment,dataset,domain,condition,method,target_dim,seed,elapsed_seconds,distance_rank_correlation,knn_overlap,cosine_similarity_correlation,estimated_flops,reconstruction_mse,relative_squared_error,downstream_accuracy
image_clean,mnist_clean_reproduction,image,clean,rp,10,24529,0.365187,0.5312993214562075,0.24985714285714283,0.5478815832749193,23520000.0,8.021668434143066,70.65264892578125,0.5316666666666666
image_clean,mnist_clean_reproduction,image,clean,rp,25,24529,0.002373,0.6875662663478916,0.4374285714285714,0.6378383533755342,58800000.0,3.5120551586151123,30.933216094970703,0.7666666666666667
image_clean,mnist_clean_reproduction,image,clean,rp,50,24529,0.002869,0.7902806128925383,0.56,0.76654524359313,117600000.0,1.6286717653274536,14.344892501831055,0.8016666666666666
image_clean,mnist_clean_reproduction,image,clean,rp,100,24529,0.004072,0.8626136935684647,0.6748571428571428,0.8649811418309244,235200000.0,0.7689470052719116,6.772673606872559,0.8433333333333334
image_clean,mnist_clean_reproduction,image,clean,rp,200,24529,0.006861,0.9363990560537667,0.7732857142857142,0.9221384812076827,470400000.0,0.43917346000671387,3.86811900138855,0.885
image_clean,mnist_clean_reproduction,image,clean,rp,400,24529,0.011658,0.9678438200218916,0.8358571428571427,0.963997259280495,940800000.0,0.22713243961334229,2.0005199909210205,0.8866666666666667
image_clean,mnist_clean_reproduction,image,clean,rp,700,24529,0.019357,0.9803916368091249,0.8734285714285716,0.9769716711973825,1646400000.0,0.12105334550142288,1.06620454788208,0.8933333333333333
image_clean,mnist_clean_reproduction,image,clean,srp,10,24529,0.003754,0.44680304264751713,0.25414285714285717,0.46824064925676845,23520000.0,8.16967487335205,71.95625305175781,0.5066666666666667
image_clean,mnist_clean_reproduction,image,clean,srp,25,24529,0.003915,0.6440208223107776,0.40057142857142863,0.5520840667633267,58800000.0,2.8203084468841553,24.84050178527832,0.675
image_clean,mnist_clean_reproduction,image,clean,srp,50,24529,0.004512,0.772880619690627,0.5678571428571428,0.7699733980401029,117600000.0,1.7395249605178833,15.321257591247559,0.825
image_clean,mnist_clean_reproduction,image,clean,srp,100,24529,0.006218,0.8731470440155378,0.6724285714285715,0.8405421745206866,235200000.0,0.923499584197998,8.133930206298828,0.8616666666666667
image_clean,mnist_clean_reproduction,image,clean,srp,200,24529,0.00917,0.934243891262961,0.7494285714285714,0.9116963471664499,470400000.0,0.48226359486579895,4.247645378112793,0.875
image_clean,mnist_clean_reproduction,image,clean,srp,400,24529,0.014586,0.9609374632927867,0.823857142857143,0.9544769380877022,940800000.0,0.24597544968128204,2.1664841175079346,0.8633333333333333
image_clean,mnist_clean_reproduction,image,clean,srp,700,24529,0.02272,0.9774251786433353,0.8641428571428573,0.9763866404678193,1646400000.0,0.12750375270843506,1.1230180263519287,0.9
image_clean,mnist_clean_reproduction,image,clean,pca,10,24529,0.013189,0.8559007375030352,0.5715714285714286,0.6527350724650403,23520000.0,0.0346979945898056,0.30561041831970215,0.8133333333333334
image_clean,mnist_clean_reproduction,image,clean,pca,25,24529,0.016789,0.9443476987931326,0.750142857142857,0.710033833822251,58800000.0,0.020633792504668236,0.1817367672920227,0.9
image_clean,mnist_clean_reproduction,image,clean,pca,50,24529,0.025258,0.9824950650934414,0.8505714285714288,0.7382651054987759,117600000.0,0.011593963019549847,0.10211644321680069,0.875
image_clean,mnist_clean_reproduction,image,clean,pca,100,24529,0.032214,0.9964255835824495,0.9300000000000002,0.744818263142628,235200000.0,0.005516770761460066,0.04859020188450813,0.8933333333333333
image_clean,mnist_clean_reproduction,image,clean,pca,200,24529,0.061413,0.999350754021922,0.9705714285714285,0.7448304013292569,470400000.0,0.0020660602021962404,0.01819729059934616,0.8866666666666667
image_clean,mnist_clean_reproduction,image,clean,pca,400,24529,0.129678,0.9999532575595785,0.9940000000000001,0.7443095877761979,940800000.0,0.0002207252400694415,0.001944087096489966,0.8866666666666667
image_clean,mnist_clean_reproduction,image,clean,pca,700,24529,0.099953,0.9999999958749997,1.0,0.7518002426174653,1646400000.0,3.1524474870814334e-12,2.776589028141707e-11,0.8966666666666666
image_clean,mnist_clean_reproduction,image,clean,dct,10,24529,0.019548,0.6219015207153465,0.2765714285714286,0.5702722698233198,23520000.0,0.06954123079776764,0.612500011920929,0.7216666666666667
image_clean,mnist_clean_reproduction,image,clean,dct,25,24529,0.019822,0.7878462880528929,0.49785714285714283,0.7500028847922348,23520000.0,0.05117781460285187,0.4507600963115692,0.865
image_clean,mnist_clean_reproduction,image,clean,dct,50,24529,0.01973,0.8872895427680962,0.6632857142857143,0.8824798098687329,23520000.0,0.03516525775194168,0.30972591042518616,0.8716666666666667
image_clean,mnist_clean_reproduction,image,clean,dct,100,24529,0.020475,0.9661836824567329,0.7928571428571428,0.9657653704063954,23520000.0,0.01818864606320858,0.1602005958557129,0.92
image_clean,mnist_clean_reproduction,image,clean,dct,200,24529,0.019958,0.9933649921359781,0.899857142857143,0.9942418137732085,23520000.0,0.007442777045071125,0.0655539333820343,0.9216666666666666
image_clean,mnist_clean_reproduction,image,clean,dct,400,24529,0.021842,0.9994183635328544,0.9644285714285714,0.9996776450730426,23520000.0,0.002446881029754877,0.021551454439759254,0.8983333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,700,24529,0.02311,0.9999809486235313,0.9934285714285714,0.9999919837210731,23520000.0,0.00026963066193275154,0.0023748327512294054,0.895
image_clean,mnist_clean_reproduction,image,clean,rp,10,24530,0.002466,0.5350425120076946,0.24928571428571428,0.4910299582185754,23520000.0,13.878064155578613,122.40386199951172,0.5766666666666667
image_clean,mnist_clean_reproduction,image,clean,rp,25,24530,0.002173,0.6711499716316485,0.4334285714285715,0.6602304005433677,58800000.0,2.946139097213745,25.984804153442383,0.7233333333333334
image_clean,mnist_clean_reproduction,image,clean,rp,50,24530,0.002729,0.7757193608381703,0.5721428571428572,0.7812861858132693,117600000.0,1.8896020650863647,16.66619873046875,0.8066666666666666
image_clean,mnist_clean_reproduction,image,clean,rp,100,24530,0.004102,0.8582316257019765,0.691,0.8599296442368628,235200000.0,0.9947698712348938,8.773822784423828,0.8416666666666667
image_clean,mnist_clean_reproduction,image,clean,rp,200,24530,0.006915,0.9402194395474747,0.7831428571428573,0.9282984830440902,470400000.0,0.42599570751190186,3.7572615146636963,0.8683333333333333
image_clean,mnist_clean_reproduction,image,clean,rp,400,24530,0.01188,0.9631469323216832,0.8304285714285715,0.961674581394803,940800000.0,0.23051270842552185,2.0331108570098877,0.8766666666666667
image_clean,mnist_clean_reproduction,image,clean,rp,700,24530,0.019784,0.9806291644998831,0.8760000000000001,0.9768252848679944,1646400000.0,0.12487144023180008,1.1013600826263428,0.885
image_clean,mnist_clean_reproduction,image,clean,srp,10,24530,0.003438,0.5267166342915582,0.24457142857142855,0.45936020893568885,23520000.0,10.29239273071289,90.77841186523438,0.4683333333333333
image_clean,mnist_clean_reproduction,image,clean,srp,25,24530,0.00359,0.5665928521274892,0.44257142857142856,0.6671514638379441,58800000.0,3.792426824569702,33.44902038574219,0.75
image_clean,mnist_clean_reproduction,image,clean,srp,50,24530,0.004576,0.7912197158887322,0.5784285714285714,0.7458109710536603,117600000.0,2.0095245838165283,17.72391128540039,0.8066666666666666
image_clean,mnist_clean_reproduction,image,clean,srp,100,24530,0.006708,0.8705595765930455,0.6802857142857143,0.8739979377246692,235200000.0,0.8395344614982605,7.404653072357178,0.8283333333333334
image_clean,mnist_clean_reproduction,image,clean,srp,200,24530,0.008761,0.9238894357565777,0.7527142857142857,0.9121878006737032,470400000.0,0.4373629093170166,3.8575198650360107,0.865
image_clean,mnist_clean_reproduction,image,clean,srp,400,24530,0.014207,0.9617245392089905,0.8275714285714286,0.9561021210906042,940800000.0,0.22345396876335144,1.970853328704834,0.8866666666666667
image_clean,mnist_clean_reproduction,image,clean,srp,700,24530,0.02259,0.9778325132937639,0.8664285714285714,0.9739888313916929,1646400000.0,0.1351454108953476,1.1919759511947632,0.8816666666666667
image_clean,mnist_clean_reproduction,image,clean,pca,10,24530,0.012196,0.8539883312661893,0.5765714285714286,0.6744743741542077,23520000.0,0.034640632569789886,0.3055287003517151,0.7983333333333333
image_clean,mnist_clean_reproduction,image,clean,pca,25,24530,0.015997,0.9440295853102848,0.7591428571428572,0.7422711943367071,58800000.0,0.020701803267002106,0.18258890509605408,0.8666666666666667
image_clean,mnist_clean_reproduction,image,clean,pca,50,24530,0.024195,0.982346183160084,0.8591428571428573,0.7508695926177712,117600000.0,0.011656112968921661,0.10280635207891464,0.8816666666666667
image_clean,mnist_clean_reproduction,image,clean,pca,100,24530,0.031564,0.9961930456626139,0.9247142857142858,0.7529478075798713,235200000.0,0.005559592507779598,0.04903533682227135,0.9
image_clean,mnist_clean_reproduction,image,clean,pca,200,24530,0.058557,0.999391842020035,0.9721428571428572,0.7628466955549731,470400000.0,0.0020827865228056908,0.01837007701396942,0.8716666666666667
image_clean,mnist_clean_reproduction,image,clean,pca,400,24530,0.123548,0.9999517258719918,0.993,0.7753861491427995,940800000.0,0.00022860229364596307,0.0020162612199783325,0.9016666666666666
image_clean,mnist_clean_reproduction,image,clean,pca,700,24530,0.095152,0.9999999956842638,1.0,0.7514738693149211,1646400000.0,2.4160703819553486e-12,2.1309624204102207e-11,0.8683333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,10,24530,0.019043,0.6282816597721216,0.29742857142857143,0.5676001737526853,23520000.0,0.06966190040111542,0.614414632320404,0.75
image_clean,mnist_clean_reproduction,image,clean,dct,25,24530,0.018997,0.7994446880229312,0.49471428571428566,0.7631319181848413,23520000.0,0.051279909908771515,0.4522863030433655,0.8583333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,50,24530,0.019221,0.9004981663750103,0.6588571428571428,0.8784325997375801,23520000.0,0.035074569284915924,0.30935603380203247,0.875
image_clean,mnist_clean_reproduction,image,clean,dct,100,24530,0.019118,0.9656747622921726,0.7995714285714286,0.9660171660082455,23520000.0,0.018225517123937607,0.1607481837272644,0.88
image_clean,mnist_clean_reproduction,image,clean,dct,200,24530,0.020342,0.9933857504521205,0.8957142857142857,0.9935523042122189,23520000.0,0.007490146439522505,0.06606272608041763,0.875
image_clean,mnist_clean_reproduction,image,clean,dct,400,24530,0.020967,0.9994199653467393,0.9627142857142859,0.9995714054535191,23520000.0,0.0024481588043272495,0.02159264124929905,0.8716666666666667
image_clean,mnist_clean_reproduction,image,clean,dct,700,24530,0.02277,0.9999789296373618,0.9921428571428571,0.9999921585095845,23520000.0,0.0002676219737622887,0.0023604128509759903,0.8816666666666667
image_clean,mnist_clean_reproduction,image,clean,rp,10,24531,0.002653,0.5600283196267699,0.25457142857142856,0.5076585774830449,23520000.0,8.006542205810547,70.48442077636719,0.5216666666666666
image_clean,mnist_clean_reproduction,image,clean,rp,25,24531,0.002249,0.6740709641168314,0.4258571428571429,0.6111031464154238,58800000.0,3.422624111175537,30.13056755065918,0.685
image_clean,mnist_clean_reproduction,image,clean,rp,50,24531,0.002985,0.7878531608658225,0.5752857142857144,0.7720862871955374,117600000.0,1.6796795129776,14.786810874938965,0.8066666666666666
image_clean,mnist_clean_reproduction,image,clean,rp,100,24531,0.003982,0.8636509182906823,0.6725714285714286,0.8740782865040436,235200000.0,1.0103840827941895,8.894767761230469,0.8466666666666667
image_clean,mnist_clean_reproduction,image,clean,rp,200,24531,0.006605,0.9286793590424599,0.7594285714285715,0.9228639872205988,470400000.0,0.4166505038738251,3.667921304702759,0.8483333333333334
image_clean,mnist_clean_reproduction,image,clean,rp,400,24531,0.011976,0.9657925149245321,0.8317142857142857,0.9602194186641273,940800000.0,0.2275925874710083,2.003577709197998,0.8533333333333334
image_clean,mnist_clean_reproduction,image,clean,rp,700,24531,0.018342,0.9772765979547874,0.865,0.9747449354244277,1646400000.0,0.12822918593883514,1.1288466453552246,0.89
image_clean,mnist_clean_reproduction,image,clean,srp,10,24531,0.003528,0.5504485721855678,0.23771428571428568,0.5151939569371945,23520000.0,14.370881080627441,126.51193237304688,0.4533333333333333
image_clean,mnist_clean_reproduction,image,clean,srp,25,24531,0.003651,0.6375345104084068,0.42857142857142855,0.6341827498254807,58800000.0,2.8073742389678955,24.714303970336914,0.7216666666666667
image_clean,mnist_clean_reproduction,image,clean,srp,50,24531,0.004506,0.8026234298356412,0.5448571428571428,0.7651939143387965,117600000.0,1.6899691820144653,14.877394676208496,0.815
image_clean,mnist_clean_reproduction,image,clean,srp,100,24531,0.006126,0.8836388281045535,0.6615714285714286,0.8716625022976806,235200000.0,1.0016493797302246,8.817872047424316,0.8633333333333333
image_clean,mnist_clean_reproduction,image,clean,srp,200,24531,0.009851,0.929785305635227,0.7471428571428571,0.9189377771233171,470400000.0,0.45948129892349243,4.044975757598877,0.87
image_clean,mnist_clean_reproduction,image,clean,srp,400,24531,0.014246,0.960331972038608,0.82,0.948750237919978,940800000.0,0.23141148686408997,2.0371968746185303,0.87
